The Downtown

d100 Downtown
1-2    Pharmacy
6  Gang leader's Secret Concubine
7  Gang's Techie or ripperdoc
8  Invalided Gang Member
9  Gang's Fixer
10 Gang's Idiot (the liability)

d10 What's The Deal With These Guys? (Rumours/Hooks)
1  The gang is in danger of being destroyed by a more powerful rival (roll a gang)
2  The gang are showing symptoms of having contracted a disease (see Urban Sickness)
3  The gang knows of hidden ways through the city or into a building (see Legacy Infrastructure)
4  The gang have procured (or manufactured) a dangerous narcotic or toxin
5  The gang harbours an exile or outcast from a wealthy and powerful family
6  The gang have discovered valuable technology lost by powerful NPC
7  The gang has a splinter cell of powerful members, who are impossible to control
8  The gang are grabbing runaways for corporate experiments, and getting bolder
9  A member has fallen in love with a rival gang member and fled, knowing too much
10 The gang has access to unusual cybernetics, and it's drawing attention to them

Armed Response

d10 First Responders
1-2   Plainclothes Detectives - Clearly marked POLICE vests, flashing their ID badges
3-8   Uniformed Officers - Basic cops (if odd rolled: they're wearing riot gear)
9-10  Tactical response unit - Special operations/SWAT team - milspec load out

d10 The Department
1-4   City/Corporate Police - Same thing, only difference is who's paying them
5-6   Corporate Security - Protecting company property, area or personnel
7-8   Private Security Company - Commercial law enforcement contractors
9     Special Police Agency - Immigration/Bomb Squad/Customs/Traffic etc.
10    National Police Agency - FBI/FSB or Militarized Police (eg: Guardia Civil/MPs)

d10 Response Level
1-6   There are enough officers and support present to handle the current situation
7-9   Looks like they've bitten off more than they can chew, requesting support
10    The officers are way out of their depth, pinned down, need immediate back up

d10 Job Sheet
1     Approaching a suspect or suspects, or have just arrested a suspect or suspects
2-3   Performing a street patrol, area or building search or conducting vehicle search
4     Conducting an operation - raid, stake out, goods seizure
5     Dealing with an apparent hostage situation or a suspect device
6-7   Stopping citizens for questioning or performing stop-and-search operation
8-9   In pursuit of suspect, either on foot or in vehicles
10    Cordoning off the area (searching for suspect/securing a crime scene)

d10 Call For Backup (ETA d6 minutes)
1-4   d6 Support Drones - Cameras, Tasers, Flechette Weapons
5-6   Uniformed Officers - d6/2 Patrol Cars, Armoured Officers, SMGs/Shotguns
7-8   SWAT Team - Heavy/hard Armour, Combat rifles, Augmented
9     Heavy Support remote = Teleoperated Walker, HMG and/or Missiles
10    Powered Armour Suit - Heavy Weapon, ECM, Grenade launchers

Fixers & Facemen

d100 Name
1-2     Olivia Chain
3-4     Rob 'Infidel' Castro
5-6     Gemini Benedict
7-8     The Mask Maker
9-10    Bradley Darrow
11-12   Usman 'Emir' Kasim
13-14   Mr Blank
15-16   Alison Wonderland
17-18   Ingenuity Jones
19-20   The Chemist
21-22   Darius November
23-24   Mondo hernandez
25-26   Leon 'The Tsar' Arkov
27-28   Sister Mercy
29-30   Wise Melon
31-32   The Babel-Mother
33-34   Miguel Fernandez
35-36   Able Kane
37-38   Desmond Crisis
39-40   Slick Franklin
41-42   Wendel Goldberg
43-44   Pappa Midnight
45-46   Reality Black
47-48   Adolf hipster
49-50   Mr Skin
51-52   'Viper' Joe DeMarco
53-54   Tanglegenes
55-56   Charisma Valentine
57-58   The Spider Sisters
59-60   Veracity Solomon
61-62   General Grabber
63-64   Henry Jericho
65-66   Warsaw
67-68   Lucius Warbaby
69-70   Jacob Smolensky
71-72   Simon Church
73-74   Octavius Ballinger
75-76   Dr Ishimura
77-78   Friday Dias
79-80   Kim Nguyen
81-82   Oni Tokugawa
83-84   Zero Ballard
85-86   The Shaper
87-88   Ferdinand Kingston
89-90   Harry-san
91-92   Rico eisendüller
93-94   October Talisi
95-96   Mickey The roach
97-98   The Somalian
99-100  Dr Fassbinder

d100 Description
1-2     Despises being based out of the local Consumertopia™
3-4     Once an indentured child, tends to sympathise too much
5-6     Many implants, diminished empathy, she's not afraid to kill
7-8     Records all business conversations covertly, just in case
9-10    Lives an opulent lifestyle well beyond his means
11-12   Head of the so-called Flesh Cartel, self-styled King of Pimps
13-14   Into cheap sex dolls, leaving scars due to latex allergies
15-16   Hormone-locked 'teen' (actually 30); outrageous flirt
17-18   Some-time stripper and cam girl, lover taught her to shoot
19-20   Relishes the power his tailored drugs give him over others
21-22   Struggles with a debilitating narcotic dependency
23-24   Desperate to keep his children a secret from his enemies
25-26   Being blackmailed by corporate aristocrat Fatima rasheed
27-28   Cold, soulless narcissist, proud of her migrating glo-tatts
29-30   Chubby, jovial and a registered independent nation-state
31-32   Just one AI of a distributed identinet, with shared awareness
33-34   Deep cover cop, losing himself to his current artificial life
35-36   Surprisingly conservative, suburban, family-centric lifestyle
37-38   Unassuming ex-ganger, ex-Catholic priest, ex-porn actor
39-40   Determined to make enough money to leave city behind
41-42   Trying hard to care for elderly father permalinked to porn sims
43-44   Well connected across the Pacific Prosperity Sphere
45-46   Extremely ambitious, with an obvious superiority complex
47-48   Unfortunate racist and obsessive-compulsive neat freak
49-50   Must painfully inject nanites hourly due to congenital illness
51-52   Paranoid, wears spiderweave body-glove under clothing
53-54   Obsessively collects snakes, liking them more than people
55-56   Secretly employed by corporation, follows their instructions
57-58   Twin clones, supermodel hot, operate Orbital Mafia franchise
59-60   Back doors for Cambodian data-havens, but fears reprisals
61-62   Hypochondriac; terrified his cheap organ implants will fail
63-64   Openly gay, secretly straight, desperately addicted to sex
65-66   Can only be reached by using a particular hacked pay phone
67-68   Over-confident emancipated juvenile; sexual deviant
69-70   Walking the line between worlds exacerbates heart problem
71-72   Goods traceable by cops to avoid brainwipe sentence
73-74   Believes he is a synthetic controlled by corporations
75-76   Finances a stable of Freak Fighters, all of whom he despises
77-78   Disgusted by the work he does, he drinks to block it out
79-80   Financed by the Binh Xuyen, but looking for a way out
81-82   Aggressive vigilance suite protects tiered neural processors
83-84   Overly enthusiastic and extremely sadistic; loves music
85-86   Loaded with enough intelligent bioplastic that he can't die
87-88   The strippers at his club are all biomodded clones of himself
89-90   Stressed due to several secret families with different women
91-92   Has the best of intentions, but is deeply unreliable
93-94   Self-doubt, but wants to be head-hunted by a corporation
95-96   No self worth, always high, easily distracted
97-98   Suffers from PTSD, nightmares, has poorly timed flashbacks
99-100  Struck off, operates a failing back street clinic, depressed

d100 Job
1-2     Talent Agent
3-4     Repoman
5-6     Black Marketeer
7-8     Identities Broker
9-10    Transporter/Mover
11-12   Skin Trader/Pimp
13-14   PersonalitySmuggler
15-16   Tech Dealer
17-18   Secrets hunter
19-20   Drug Designer
21-22   Wheelman
23-24   Talent Scout
25-26   Syndicate Diplomat
27-28   Drug Pusher
29-30   Go-Between
31-32   Hacker Stable
33-34   Tech Fence
35-36   Prowler/Thief
37-38   Smuggler
39-40   Squealer
41-42   Bookie
43-44   Gun runner
45-46   Procurement
47-48   Electronics handler
49-50   Blackmailer
51-52   Data Crypt Owner
53-54   Nanotech Dealer
55-56   Mediator
57-58   Loansharks
59-60   Information Broker
61-62   Weapon Fence
63-64   Ghost Accountant
65-66   Gang liaison
67-68   Finder
69-70   Bent lawyer
71-72   Vehicle Dealer
73-74   Contract Facilitator
75-76   Bioware Fence
77-78   Digital Manipulator
79-80   Madam
81-82   Troubleshooter
83-84   Persuader
85-86   Bioware handler
87-88   Club Owner
89-90   Landlord
91-92   Med Tech Dealer
93-94   Negotiator
95-96   Synth Pimp
97-98   Cleaner
99-100  Implant Dealer

d100 Appearance/Demeanour
1-2     Boxy, plain, emotion suppression chips
3-4     Skinny jeans, vinyl bomber jacket, joker
5-6     Elfin, humourless, pale duster, blue hair
7-8     Muscular, balding, sophisticated, diligent
9-10    Well groomed, youthful, boastful, snob
11-12   Ostentatious, traditional, bearded, careful
13-14   Blistered, strong cologne, shiny blue suit
15-16   Willowy, hauntingly beautiful, kimonos
17-18   Tall, lithe and busty, probing, determined
19-20   Oily, obsequious, formal and spiteful
21-22   Pale, shaky, numerous vehicle link plugs
23-24   Approachable, guarded, sharp dresser
25-26   Shaven head, grey suit, bulky, sombre
27-28   Exhibitionist, tease, clear vinyl raincoat
29-30   Fat, confident, well-mannered, Mao suits
31-32   Geisha-chic, teenage girl, dark eyed, cold
33-34   Deep turquoise leather coat, friendly
35-36   Impeccably dressed, punctual, vindictive
37-38   Neo-romantic floppy fringe, tux, relaxed
39-40   Nervous, cautious, trenchcoat, greasy hair
41-42   Tired and frazzled, thinning curly hair, fat
43-44   Tech-savvy, confident, ebony skinned
45-46   Arrogant, condescending, casual dress
47-48   Inappropriate, knowledgeable, on-trend
49-50   Small, unwashed, world weary, tired
51-52   Black suits & shirts, gold tie, aggressive
53-54   Limps, thin-limbed, pastey, loose silks
55-56   Conservative trouser suits, on edge, delays
57-58   Seductive, elegant, hot tempered, black
59-60   Easily pleased, layered hoodies, shades
61-62   Middle-aged, dark denim, big revolvers
63-64   Flamboyant, mincing, fidgets, gloved
65-66   Grubby punk, pumped, baritone voice
67-68   Oversized army jacket, cigars, big gun
69-70   Chunky, crumpled suit, sweaty, balding
71-72   Sergio Tacchini track suits, anxious, tag
73-74   Expensive shirts, gold rings, robotic
75-76   Smoker, inscrutable, leisure suits, clean
77-78   Reeks of booze, dirty jeans, serious
79-80   Soft face, scarlett bobbed hair, ruthless
81-82   Monovisor, suit, raincoat, katana, calm
83-84   Turtle necks, chrome hands, wild eyed
85-86   Old, emaciated, bitter and suicidal
87-88   Hawaiian shirts, cargo pants, gregarious
89-90   Squat, solid, stubbled chin, dark vinyl coat
91-92   Enthusiastic, knitwear, sandals, ponytail
93-94   Coffee-skinned, afro weave, violet lipstick
95-96   Coverall, micro tools, air hypo, giddy
97-98   Tall, lean, narrow-faced, red suit, dreads
99-100  Long black hair, goatee, lethargic, cynical

d100 Relationship
1-2     Secretly adores...
3-4     Sleeping with...
5-6     Apprentice of...
7-8     Did work for...
9-10    Owes money to...
11-12   Influence over...
13-14   Lusts after...
15-16   Trusts only...
17-18   On-off lover of...
19-20   Has control of...
21-22   On the books of...
23-24   Seeks aid of...
25-26   Obsessed with...
27-28   Friend of...
29-30   Irritates...
31-32   Suspicious of...
33-34   Works with...
35-36   Makes use of...
37-38   Wary of...
39-40   Owes money to...
41-42   Owed money by...
43-44   Won't work with...
45-46   Friend of...
47-48   Despises...
49-50   Makes use of...
51-52   Manipulating...
53-54   Trusts only...
55-56   Lusts after...
57-58   Trust only...
59-60   Owes favour to...
61-62   In love with...
63-64   Makes use of...
65-66   Friend of...
67-68   Makes use of...
69-70   Works for...
71-72   Will betray...
73-74   Seeks aid of...
75-76   Makes use of...
77-78   Was married to...
79-80   Sleeping with...
81-82   Rivalry with...
83-84   Tried to kill...
85-86   Father of...
87-88   Worries about...
89-90   Annoyed by...
91-92   Makes use of...
93-94   Disgusted by...
95-96   Jealous of...
97-98   Deep dislike of...
99-100  Deals with... (1-2)

Mr Johnson Job Generator 1: People

d100   Client
1-2    Street Gang Member
3-4    Corporate Aristocrat
5-6    Pimp
7-8    Thug
9-10   Prostitute
11-12  Fixer
13-14  Priest
15-16  Business Owner
17-18  Solo or Mercenary
19-20  Hacker
21-22  Scientist
23-24  Cop
25-26  Mobster
27-28  Smuggler
29-30  Bounty Hunter
31-32  Syndicate Boss
33-34  Concubine
35-36  Tech Specialist
37-38  Soldier
39-40  Scavenger
41-42  Agent
43-44  Doctor
45-46  Drug Dealer
47-48  Celebrity
49-50  Artificial Intelligence
51-52  Artist
53-54  Thief
55-56  Media
57-58  Nomad
59-60  Synthetic
61-62  Driver
63-64  Child
65-66  Broker
67-68  Unemployed Person
69-70  Clone
71-72  Programmer
73-74  Designer
75-76  Homeless Person
77-78  People Trafficker
79-80  Revolutionary
81-82  Psychiatrist
83-84  Cyborg
85-86  Intelligent Animal
87-88  Courier
89-90  Image Consultant
91-92  Forger
93-94  Ex-Con
95-96  Fanatic/Extremist
97-98  Performer
99-100 Junkie

d100   Want
1-2    Wants to...
3-4    Needs to...
5-6    Must...
7-8    Plans to...
9-10   Forced to...
11-12  Wants to...
13-14  Needs to...
15-16  Must...
17-18  Plans to...
19-20  Forced to...
21-22  Wants to...
23-24  Needs to...
25-26  Must...
27-28  Plans to...
29-30  Forced to...
31-32  Wants to...
33-34  Needs to...
35-36  Must...
37-38  Plans to...
39-40  Forced to...
41-42  Wants to...
43-44  Needs to...
45-46  Must...
47-48  Plans to...
49-50  Forced to...
51-52  Wants to...
53-54  Needs to...
55-56  Must...
57-58  Plans to...
59-60  Forced to...
61-62  Wants to...
63-64  Needs to...
65-66  Must...
67-68  Plans to...
69-70  Forced to...
71-72  Wants to...
73-74  Needs to...
75-76  Must...
77-78  Plans to...
79-80  Forced to...
81-82  Wants to...
83-84  Needs to...
85-86  Must...
87-88  Plans to...
89-90  Forced to...
91-92  Wants to...
93-94  Needs to...
95-96  Must...
97-98  Plans to...
99-100 Forced to...

d100   Action
1-2    Kill...
3-4    Maim...
5-6    Deliver to...
7-8    Protect...
9-10   Intimidate...
11-12  Escape...
13-14  Monitor...
15-16  Smuggle...
17-18  Find...
19-20  Blackmail...
21-22  Steal from...
23-24  Collect from...
25-26  Pay...
27-28  Assist...
29-30  Modify...
31-32  Record...
33-34  Threaten...
35-36  Kidnap...
37-38  Own...
39-40  Defeat...
41-42  Ruin...
43-44  Control...
45-46  Save...
47-48  Submit to...
49-50  Entrap...
51-52  Con...
53-54  Flee with...
55-56  Employ...
57-58  Marry...
59-60  Sell out...
61-62  Extract...
63-64  Kill...
65-66  Deliver to...
67-68  Blackmail...
69-70  Modify...
71-72  Escape...
73-74  Ruin...
75-76  Steal from...
77-78  Kidnap...
79-80  Protect...
81-82  Find...
83-84  Escort...
85-86  Deliver to...
87-88  Save...
89-90  Collect from...
91-92  Flee...
93-94  Kill...
95-96  Sell out...
97-98  Investigate...
99-100 Submit to...

d100   Target Person
1-2    Programmer
3-4    Ex-Con
5-6    Priest
7-8    Cyborg
9-10   Scientist
11-12  Bounty Hunter
13-14  Tech Specialist
15-16  Soldier
17-18  Thief
19-20  Artist
21-22  Performer
23-24  Media
25-26  Designer
27-28  Unemployed Person
29-30  Child
31-32  Driver
33-34  Broker
35-36  Fixer
37-38  Fanatic/Extremist
39-40  Courier
41-42  Smuggler
43-44  Celebrity
45-46  Clone
47-48  Cop
49-50  Junkie
51-52  Prostitute
53-54  Intelligent Animal
55-56  Forger
57-58  Street Gang Member
59-60  Thug
61-62  Synthetic
63-64  Business Owner
65-66  Corporate Aristocrat
67-68  Agent
69-70  Mobster
71-72  Pimp
73-74  Hacker
75-76  Solo or Mercenary
77-78  Concubine
79-80  Artificial Intelligence
81-82  Homeless Person
83-84  Nomad
85-86  Revolutionary
87-88  Doctor
89-90  Syndicate Boss
91-92  Psychiatrist
93-94  Scavenger
95-96  Drug Dealer
97-98  Image Consultant
99-100 People Trafficker

Mr Johnson Job Generator 1: Things

d100   Client
1-2    Street Gang Member
3-4    Corporate Aristocrat
5-6    Pimp
7-8    Thug
9-10   Prostitute
11-12  Fixer
13-14  Priest
15-16  Business Owner
17-18  Solo or Mercenary
19-20  Hacker
21-22  Scientist
23-24  Cop
25-26  Mobster
27-28  Smuggler
29-30  Bounty Hunter
31-32  Syndicate Boss
33-34  Concubine
35-36  Tech Specialist
37-38  Soldier
39-40  Scavenger
41-42  Agent
43-44  Doctor
45-46  Drug Dealer
47-48  Celebrity
49-50  Artificial Intelligence
51-52  Artist
53-54  Thief
55-56  Media
57-58  Nomad
59-60  Synthetic
61-62  Driver
63-64  Child
65-66  Broker
67-68  Unemployed Person
69-70  Clone
71-72  Programmer
73-74  Designer
75-76  Homeless Person
77-78  People Trafficker
79-80  Revolutionary
81-82  Psychiatrist
83-84  Cyborg
85-86  Intelligent Animal
87-88  Courier
89-90  Image Consultant
91-92  Forger
93-94  Ex-Con
95-96  Fanatic/Extremist
97-98  Performer
99-100 Junkie

d100   Want
1-2    Wants to...
3-4    Needs to...
5-6    Must...
7-8    Plans to...
9-10   Forced to...
11-12  Wants to...
13-14  Needs to...
15-16  Must...
17-18  Plans to...
19-20  Forced to...
21-22  Wants to...
23-24  Needs to...
25-26  Must...
27-28  Plans to...
29-30  Forced to...
31-32  Wants to...
33-34  Needs to...
35-36  Must...
37-38  Plans to...
39-40  Forced to...
41-42  Wants to...
43-44  Needs to...
45-46  Must...
47-48  Plans to...
49-50  Forced to...
51-52  Wants to...
53-54  Needs to...
55-56  Must...
57-58  Plans to...
59-60  Forced to...
61-62  Wants to...
63-64  Needs to...
65-66  Must...
67-68  Plans to...
69-70  Forced to...
71-72  Wants to...
73-74  Needs to...
75-76  Must...
77-78  Plans to...
79-80  Forced to...
81-82  Wants to...
83-84  Needs to...
85-86  Must...
87-88  Plans to...
89-90  Forced to...
91-92  Wants to...
93-94  Needs to...
95-96  Must...
97-98  Plans to...
99-100 Forced to...

d100   Action
1-2    Destroy...
3-4    Copy...
5-6    Deliver...
7-8    Protect...
9-10   Sell...
11-12  Steal...
13-14  Destroy...
15-16  Smuggle...
17-18  Locate...
19-20  Hide...
21-22  Steal...
23-24  Collect...
25-26  Receive...
27-28  Control...
29-30  Modify...
31-32  Locate...
33-34  Destroy...
35-36  Ransom...
37-38  Own...
39-40  Flee with...
41-42  Spoil...
43-44  Control...
45-46  Save...
47-48  Upload...
49-50  Protect...
51-52  Use...
53-54  Flee with...
55-56  Sell...
57-58  Steal...
59-60  Flee with...
61-62  Locate...
63-64  Destroy...
65-66  Copy...
67-68  Steal...
69-70  Hack into...
71-72  Escape with...
73-74  Destroy...
75-76  Protect...
77-78  Locate...
79-80  Design...
81-82  Buy...
83-84  Protect...
85-86  Own...
87-88  Steal...
89-90  Hide...
91-92  Sell...
93-94  Deliver...
95-96  Save...
97-98  Copy...
99-100 Steal...

d100   Target Item
1-2    Neural Processor
3-4    Vintage Wine
5-6    Photograph(s)
7-8    IFF Tags
9-10   Narcotic
11-12  Weapon
13-14  ID Card
15-16  Jewellery
17-18  Software
19-20  Security Passcard
21-22  Target's DNA
23-24  Cybermodem
25-26  Offline Digital Files
27-28  Hard Drive
29-30  Designer Virus
31-32  Attache Case
33-34  Data/Vid Chip
35-36  Holdall of Drugs
37-38  Vehicle
39-40  Keys/Key Card
41-42  Computer Virus
43-44  Cybernetic Limb
45-46  Synthetic Brain
47-48  Personality Module
49-50  Cell Phone/Agent
51-52  Exo-Womb
53-54  Hardcopy Schematic
55-56  Military ICE Breaker
57-58  Nano Fabricator
59-60  Antique Katana
61-62  Cloned Coca leaf
63-64  Antidote/Medicine
65-66  Human eye/Thumb
67-68  Artificial Intelligence
69-70  Cybernetic Optics
71-72  SimStim Recording
73-74  Robot
75-76  Operating System
77-78  Tablet Device
79-80  Memory Chip
81-82  Server
83-84  Holdall of Cash
85-86  Bioware
87-88  Augmented Pet
89-90  Chemical
91-92  Human Organ(s)
93-94  Patient In Cryo Vat
95-96  Work of Art
97-98  Drone/Remote
99-100 Cybernetic Implant

State Of The Art

d10 Condition of Found (or Stolen) Technology
1  Checquered history, well used, possible damaged
2  State-of-the-art, designer, cutting edge aesthetics
3  Buggy and unpredictable, resets to factory default
4  Sought after but unstable R&D prototype, defective
5  Obvious foreign counterfeit, compatibility issues
6  Sturdy, basic, idiot-proof, in good working order
7  Military spec, bomb-proof, very robust, ugly
8  Elegant design, but fragile, possibly bespoke
9  Unlicensed clone copy, brand new, can't be updated
10 Intuitive interface, plug-and-play, modular design

d10 Type of Device
1  Weapon
2  Computer/Tablet/hD
3  Drone/remote
4  Cybernetic Implant
5  Cell Phone/Agent
6  SimStim rig
7  Cybermodem
8  Diagnostic Scanner
9  Cam/recorder/Bug
10 3D Printer/Peripheral

d10 So, What's on That Thing Anyway? (Data Mining)
1  Contacts list - a mix of pure gold and the depressingly mundane
2  Schematics - possibly of a building, vehicle, or a new cybernetics design
3  Compromising Image Files (GM needs to determine of who)
4  Chemical or Pharmaceutical Formulas - either new or cleverly adapted
5  Unreleased Beta Gaming Apps - copy protected; eagerly anticipated by fans
6  Illegally Downloaded Music - some tracks prerelease; copy protections removed
7  Black Ops Project - an extraction/wetwork/adulterating pharms/neo-disease etc.
8  Weapons Tech R&D Data - aware weaponry systems or cutting edge mods
9  Presentation For Forthcoming Biotech launch - impressive production values
10 V-Mail Conversation Threads - regards one or more of the above (roll again twice)

d10 Where's It Been? (Device History)
1  Stolen - the original owner(s) want it found and returned, offering a reward
2  Misplaced - the owner(s) lost it and are desperate to find the device
3  Traded - the device has been through several owners in recent months
4  Found On Corpse - the device was obtained by scavengers after finding the body
5  Used For Crime - the device was used to commit crime, forensically compromised
6  Thrown Away - device mistakenly discarded and is believed to no longer exist
7  Hidden - the device was secreted somewhere with the intention of later retrieval
8  Hacked - device was infiltrated from outside source, discarded, back doors intact
9  Found In Vehicle - device was taken from an abandoned or stolen vehicle
10 Sold On - the device was sold as it was no longer required, or money was needed

d100 What's On The Corpse?
1-2     Scrap of paper         Work-in-progress death haiku scrawled on hotel note paper
3-4     Human eyeball          In climate controlled transparent jar, residential address on label
5-6     Blister pack of pills  Half-taken medication for virulently contagious illness
7-8     Plain clip-on IFF tag  d6: 1-2 Police, 3-4 Major Corporation, 5-6 local Cartel (D3 days)
9-10    Smooth plastic blob    Memory-plastic knife, requires a sharp tap to reconfigure blade
11-12   Ziplock of grey dust   d6 'doses' of surveillance nanites; need transmission frequency
13-14   Used pregnancy test    The low grade AI just can't wait to tell you the good news...
15-16   Battered e-cig         The liquid well contains 12ml of a previously unknown narcotic
17-18   Three 7.62 bullets     One of which is laser-etched with a PC's name
19-20   Plastic envelope       Keycard and address for very hidden, very private cyber clinic
21-22   Packet of condoms      Expensive, with STD detection sensors, phone number on back
23-24   'Fitbit' biomonitor    Hack reveals owner's movements, heart-rate and drug intake
25-26   DeStress Xpress        d6 anti-anxiety capsules, laced with tracking nanites
27-28   Small grey brick       Carbon nanobar, required substrate for illegal nano fabricators
29-30   Business plasticard    Contact details for a gig-economy agent at 'reputelligent Inc'.
31-32   Fancy boots            Synthetic crocodile skin Chelsea boots, hideously expensive
33-34   Cybernetic hand        Spare chromed hand, fitted with flashlight and motion sensor
35-36   Chinese cigarettes     Rare, prohibited imports, only one fixer known to smuggle them
37-38   25ml plastic bottle    Labelled as NanoBrite dental hygiene fluid, contains DNA sample
39-40   Shrink wrapped cell    Unused vendomat burner phone, monitored by corporation
41-42   Puck-like disk         Olive drab casing, cyrillic script on how to use the monowire mine
43-44   Plush 'Hello Kitty'    Tiny T-shirt states "let them eat chaos", grenade hidden inside
45-46   Unlocked datastick     Contains 500GB of banned Jihadipop tracks, DrMstill intact
47-48   Painted filter mask    Anti-pollution rebreather, daubed in gang colours (see Urban Tribes: Street Gangs)
49-50   40mm resin figurine    Religious icon, showing Nelson Mandela healing a blind woman
51-52   3D printed ring        Ornate white gold wedding ring, unique, worn on a neck chain
53-54   Small bodycam          Memory chip reveals meeting with prominent fixer hours ago
55-56   Small metal key        Key for a safety deposit box (303) at nearby monorail station
57-58   Medical aid card       Belongs to person with different face and gender to the corpse
59-60   Body lotto ticket      25% chance that the owner's death resulted in a winning number
61-62   Durable glass vial     Containing a live venomous spider and eggs, not natural breed
63-64   Loose rFIDtag          Angry pimp hunting for the prostitute it used to be implanted in
65-66   1KG pack of 'flour'    Calcium feed for nano-enhanced killer; stops the nano eating him
67-68   Blue lipstick          Loaded with aggressive immunosuppressing toxin
69-70   Plastic motel key      The room it opens contains d6 bound, unconscious street kids
71-72   Thumb-sized fob        Remote with agonizing dog-whistle effect on neural processors
73-74   3 chromed 'almonds'    Small situational awareness drones, feed view back to user
75-76   Baggy of blue hexes    Contaminated or adulterated speed-like narcotics (d6 doses)
77-78   Visitor's pass card    For geodesic-covered gated community (good for D3 days)
79-80   Cheap airhypo          With three cassettes of insulin and one of an opiate derivative
81-82   Wad of receipts        One for expensive neural backup, upload performed yesterday
83-84   'Breguet' wristwatch   Prohibitively expensive, bespoke craftsmanship, easily traced
85-86   Police ID              Same name and face as corpse, but expertly crafted forgery
87-88   Foil wrapped ooze      Pale & pink 'jellypig' bioweapon, smothers and dissolves target
89-90   Vac-sealed Flish™     d6 questionably nutritious artificial fish flesh sticks, each 3" long
91-92   Silver hip flask       Engraved with elite unit crest, holds 'Shanghai White' vodka
93-94   Printed photo of PC    Folded acetate photo, with date 3 days hence penned in border
95-96   Black, logo'd card     Corporate loyalty card, entitles bearer to generous discounts
97-98   Stubby aerosol can     Spray-on dry shampoo, also changes hair colour and texture
99-100  Boxy palmtop GPS       Active icon shows target on the move less than half a mile away

Guns For Hire

d100    Name
1-2     Darkus Garvey
3-4     Logan Tanner
5-6     The Pink Panzer
7-8     Vincent Conrad
9-10    Jinjiro Yasuda
11-12   Hiroshima Black
13-14   Plastic Bernard
15-16   Dominic West
17-18   Tango Sinclair
19-20   Janik The Ghost
21-22   Napoleon Dean
23-24   Trixie Paladin
25-26   Terence Van Stratten
27-28   Nip Lacey
29-30   Spiros Giannopoulos
31-32   Demi Oblique
33-34   Mike Bravo
35-36   Storm Haussmann
37-38   Indigo Jones
39-40   Mildred Gaia
41-42   Joe Montero
43-44   Chance Baptiste
45-46   Oliver Mckee
47-48   Saber Numan
49-50   Zaneta Zone
51-52   Brandon Skinner
53-54   Mina Radisson
55-56   Johnny Namibia
57-58   Aisha Hussein
59-60   Boyd Blackwood
61-62   Emmanuel King
63-64   Huey Ventura
65-66   Lorenzo Babylon
67-68   Thaddeus Schwartz
69-70   Lazarus Mendez
71-72   Maria Goldovskoya
73-74   Sady Sakura
75-76   Rudolph Washington
77-78   Angel De Santo
79-80   Dien Bien Phu
81-82   Otto Kruger
83-84   Pandora Frost
85-86   Buntaro 'Bushi' Tanaka
87-88   Scarlett Harvest
89-90   Ryan Edwards
91-92   Slade Bennett
93-94   Splicer Takeda
95-96   Kurt Kellerman
97-98   Heywood Nash
99-100  Manuel Override

d100    Details
1-2     Maddeningly faulty cyberaudio feeds him your comms
3-4     Elite spec-ops in the Polar War, tired of fighting, sociopath
5-6     Camp, flirtatious, enjoys intimidating straights, brutal brawler
7-8     Engaged in messy affair with unstable corporate aristocrat
9-10    Rogue vat-grown killer, protects paralysed gene-tech he loves
11-12   Gaijin with minor yakuza gumi, despised, mole for Russians
13-14   Unapologetic hipster, support from Armenian hacker clade
15-16   Lives in exquisite houseboat, requires seclusion to stay sane
17-18   Overweight hawaiian, raised in foster homes, big drinker
19-20   Vagrant combat veteran with augmentation sickness
21-22   Hounded by AI telemarketers, doesn't know why
23-24   Just one last job and the luxury beach house in Goa is hers
25-26   Anti-depressants laced with nanites control his decisions
27-28   Underage and overclocked, way too eager to prove herself
29-30   Thinks he's a major player, has a lot of cousins called Spiros
31-32   Argentine marine, autonomous defense net rebels against her
33-34   Heavily invested in Vornheim VR game, won't risk losing levels
35-36   Frustrated surrealist artist, single mother, skilled killer
37-38   Crippled as child, skeleton rebuilt, in constant pain, tough
39-40   Linear-frame-enhanced kick boxer, listens to K-Pop pre-op
41-42   Cyborg veteran of Kashmir emergency, won't leave witnesses
43-44   Late stage AIDS-2, needs immunoboosters, nothing to lose
45-46   Post-combat cleansing ritual using sage and Bible verse
47-48   Mutilated in Freak Fight bout, suspects crime syndicate boss
49-50   Former VDV paratrooper, Moldova veteran on war crimes list
51-52   Rumoured junkie, actually diabetic, saving for neo-pancreas
53-54   Convert to Islam, featureless gunmetal face, six red optics
55-56   Devout, worships the Papal AI as a god
57-58   Ex-Saudi GID, thermoptic camo, synthetic endorphin addict
59-60   Cyberoptics feed his view to media brother who's using him
61-62   Former head of security, killed execs family; she's guilt-ridden
63-64   Doesn't listen, tends to hit wrong targets, cannot drive
65-66   KGB wheelman, Olympic skier and hunted whistleblower
67-68   Former airport cleaner, conned into job by crime syndicate
69-70   Can't reconcile job with married life, excellent danger sense
71-72   Svetlana Series 9 sex synthetic, fights severe violent urges
73-74   Cares for crippled mentor, finds obligation a tiresome burden
75-76   Indentured to fixer handler, treated as property
